t,U,P,grad = 0.575000 -0.079780 -0.007670 -0.079645
t,U,P,grad = 0.580000 -0.080176 -0.007673 -0.079379
t,U,P,grad = 0.585000 -0.080570 -0.007677 -0.079117
t,U,P,grad = 0.590000 -0.080963 -0.007680 -0.078858
t,U,P,grad = 0.595000 -0.081355 -0.007683 -0.078604
t,U,P,grad = 0.600000 -0.081746 -0.007687 -0.078353
t,U,P,grad = 0.605000 -0.082135 -0.007691 -0.078105
t,U,P,grad = 0.610000 -0.082523 -0.007695 -0.077861
t,U,P,grad = 0.615000 -0.082910 -0.007699 -0.077621
t,U,P,grad = 0.620000 -0.083296 -0.007703 -0.077383
t,U,P,grad = 0.625000 -0.083680 -0.007707 -0.077149
t,U,P,grad = 0.630000 -0.084064 -0.007711 -0.076919
t,U,P,grad = 0.635000 -0.084446 -0.007715 -0.076691
t,U,P,grad = 0.640000 -0.084827 -0.007720 -0.076466
t,U,P,grad = 0.645000 -0.085207 -0.007724 -0.076244
t,U,P,grad = 0.650000 -0.085587 -0.007729 -0.076026
t,U,P,grad = 0.655000 -0.085964 -0.007734 -0.07581
t,U,P,grad = 0.660000 -0.086341 -0.007739 -0.075597
t,U,P,grad = 0.665000 -0.086717 -0.007744 -0.075386
t,U,P,grad = 0.670000 -0.087092 -0.007749 -0.075178
t,U,P,grad = 0.675000 -0.087466 -0.007754 -0.074973
t,U,P,grad = 0.680000 -0.087839 -0.007759 -0.074771
t,U,P,grad = 0.685000 -0.088211 -0.007764 -0.074571
t,U,P,grad = 0.690000 -0.088582 -0.007770 -0.074373
t,U,P,grad = 0.695000 -0.088952 -0.007775 -0.074178
t,U,P,grad = 0.700000 -0.089321 -0.007781 -0.073985
t,U,P,grad = 0.705000 -0.089689 -0.007787 -0.073794
t,U,P,grad = 0.710000 -0.090056 -0.007792 -0.073605
t,U,P,grad = 0.715000 -0.090422 -0.007798 -0.073419
t,U,P,grad = 0.720000 -0.090787 -0.007804 -0.073235
t,U,P,grad = 0.725000 -0.091151 -0.007810 -0.073052
t,U,P,grad = 0.730000 -0.091515 -0.007816 -0.072872
t,U,P,grad = 0.735000 -0.091878 -0.007822 -0.072694
t,U,P,grad = 0.740000 -0.092239 -0.007828 -0.072517
t,U,P,grad = 0.745000 -0.092600 -0.007835 -0.072343
t,U,P,grad = 0.750000 -0.092960 -0.007841 -0.07217
t,U,P,grad = 0.755000 -0.093319 -0.007848 -0.071999
t,U,P,grad = 0.760000 -0.093678 -0.007854 -0.07183
t,U,P,grad = 0.765000 -0.094035 -0.007861 -0.071662
t,U,P,grad = 0.770000 -0.094392 -0.007867 -0.071496
t,U,P,grad = 0.775000 -0.094748 -0.007874 -0.071332
t,U,P,grad = 0.780000 -0.095103 -0.007881 -0.071169
t,U,P,grad = 0.785000 -0.095457 -0.007888 -0.071008
t,U,P,grad = 0.790000 -0.095810 -0.007895 -0.070848
t,U,P,grad = 0.795000 -0.096163 -0.007902 -0.070689
t,U,P,grad = 0.800000 -0.096515 -0.007909 -0.070532
t,U,P,grad = 0.805000 -0.096866 -0.007916 -0.070377
t,U,P,grad = 0.810000 -0.097216 -0.007924 -0.070223
t,U,P,grad = 0.815000 -0.097566 -0.007931 -0.07007
t,U,P,grad = 0.820000 -0.097915 -0.007938 -0.069918
t,U,P,grad = 0.825000 -0.098263 -0.007946 -0.069768
t,U,P,grad = 0.830000 -0.098610 -0.007953 -0.069619
t,U,P,grad = 0.835000 -0.098957 -0.007961 -0.06947
t,U,P,grad = 0.840000 -0.099303 -0.007969 -0.069323
t,U,P,grad = 0.845000 -0.099648 -0.007976 -0.069177
t,U,P,grad = 0.850000 -0.099992 -0.007984 -0.069032
t,U,P,grad = 0.855000 -0.100336 -0.007992 -0.068887
t,U,P,grad = 0.860000 -0.100679 -0.008000 -0.068744
t,U,P,grad = 0.865000 -0.101021 -0.008008 -0.068602
t,U,P,grad = 0.870000 -0.101363 -0.008016 -0.06846
t,U,P,grad = 0.875000 -0.101704 -0.008024 -0.068319
t,U,P,grad = 0.880000 -0.102044 -0.008033 -0.06818
t,U,P,grad = 0.885000 -0.102383 -0.008041 -0.068041
t,U,P,grad = 0.890000 -0.102722 -0.008049 -0.067903
t,U,P,grad = 0.895000 -0.103060 -0.008058 -0.067767
t,U,P,grad = 0.900000 -0.103398 -0.008066 -0.06763
t,U,P,grad = 0.905000 -0.103735 -0.008075 -0.067495
t,U,P,grad = 0.910000 -0.104071 -0.008084 -0.06736
t,U,P,grad = 0.915000 -0.104406 -0.008092 -0.067225
t,U,P,grad = 0.920000 -0.104741 -0.008101 -0.067091
t,U,P,grad = 0.925000 -0.105075 -0.008110 -0.066957
t,U,P,grad = 0.930000 -0.105409 -0.008119 -0.066825
t,U,P,grad = 0.935000 -0.105741 -0.008128 -0.066692
t,U,P,grad = 0.940000 -0.106074 -0.008137 -0.06656
t,U,P,grad = 0.945000 -0.106405 -0.008146 -0.066429
t,U,P,grad = 0.950000 -0.106736 -0.008155 -0.066297
t,U,P,grad = 0.955000 -0.107066 -0.008165 -0.066167
t,U,P,grad = 0.960000 -0.107396 -0.008174 -0.066036
t,U,P,grad = 0.965000 -0.107725 -0.008183 -0.065907
t,U,P,grad = 0.970000 -0.108053 -0.008193 -0.065777
t,U,P,grad = 0.975000 -0.108380 -0.008202 -0.065648
t,U,P,grad = 0.980000 -0.108707 -0.008212 -0.065519
